city_key,geo_name,province,lon,lat,level,treat,post,treat_post,year,pm25,gdp,population,secondary_pct,tertiary_pct,fiscal_revenue,loan,wage,primary_teacher_per_10k,higher_teacher_per_10k,primary_student_per_10k,higher_student_per_10k,primary_school_count,higher_school_count,gdp_pc,ln_pm25,ln_gdp_pc,ln_fiscal,ln_pop,rel_year
图木舒克,图木舒克市,新疆维吾尔自治区,79.163596,39.870411,city,0,0,0,2010,91.0999984741211,,,,,,,,,,,,,,,4.511957787516418,,,,-4
塔城,塔城地区,新疆维吾尔自治区,84.155013,45.399091,city,0,0,0,2010,35.0,,,,,,,,,,,,,,,3.5553480614894135,,,,-4
大兴安岭,大兴安岭地区,黑龙江,124.201147,52.341079,city,0,0,0,2010,28.600000381469727,,,,,,,,,,,,,,,3.353406731163909,,,,-4
大同,大同市,山西,113.72499,39.904541,city,0,0,0,2010,38.900001525878906,695.9095,3.1751,48.69,46.1,55.1766,945.4359,34431.23,112.724,6.9667,1592.0758,107.669,1309.0,1.0,219.1771912695663,3.6609942898500787,5.389880495232662,4.010538950363037,1.1553391279116565,-4
大庆,大庆市,黑龙江,124.705742,46.357625,city,0,0,0,2010,45.10000228881836,2900.0642,2.798,82.24,14.48,95.8964,900.9302,45688.45,75.6648,11.6119,957.1122,229.2995,628.0,8.0,1036.4775553967118,3.808882297258484,6.94358327741727,4.56326844208155,1.0289048762432895,-4
大理白族自治,大理白族自治州,云南,100.039806,25.7274,city,0,0,0,2010,24.30000114440918,,,,,,,,,,,,,,,3.1904763974415298,,,,-4
大连,大连市,辽宁,122.190893,39.593378,city,0,0,0,2010,49.29999923706055,5158.1621,5.8644,50.88,42.43,500.8322,3374.8155,44615.02,64.9819,29.263,972.137,419.0642,980.0,31.0,879.572010776891,3.897924065573199,6.779435437775158,6.216271114843518,1.7689001750819724,-4
天水,天水市,甘肃,105.741074,34.647312,city,0,0,0,2010,45.79999923706055,300.2285,3.6673,37.73,42.23,14.3893,305.8156,23928.17,93.8592,3.8721,1766.4222,79.8598,2046.0,3.0,81.86635944700461,3.8242840744620725,4.405088154914668,2.666484874823789,1.2994556964873503,-4
天津,天津市,天津,117.347043,39.288036,province,1,0,0,2010,82.20000457763672,9224.46,9.8485,52.47,45.95,1068.8093,5634.34,52963.68,79.2354,28.5262,979.337,435.8268,1502.0,55.0,936.63603594456,4.4091553577511435,6.842294771286417,6.97430050409183,2.287319159323612,-4
天门,天门市,湖北,113.114735,30.642494,city,0,0,0,2010,75.0,,,,,,,,,,,,,,,4.31748811353631,,,,-4
太原,太原市,山西,112.322147,37.960573,city,0,0,0,2010,48.29999923706055,1778.0539,3.655,44.91,53.39,138.4809,2386.7861,38838.91,93.606,57.2148,1387.9617,902.0848,837.0,42.0,486.4716552667579,3.877431544862679,6.187178637373249,4.930732409980283,1.2960960932017418,-4
威海,威海市,山东,122.000805,37.118677,city,0,0,0,2010,46.5,1944.7,2.5361,55.9,36.19,118.2707,949.1667,31913.04,87.8869,12.9963,949.8837,236.0672,243.0,7.0,766.8073025511613,3.8394523125933104,6.642235534536629,4.772976064906202,0.9306274679742077,-4
